Tipo de inmueble,Precio (admin_included),Estrato,Baños,Habitaciones,Parqueaderos,Area,Area Privada,Piso,Antiguedad,Precio_por_m2,Bedroom_Bath_Ratio,Size_Category_Small,Size_Category_Medium,Size_Category_Large,Size_Category_Huge,Cluster,Market_Segment
Apartamento,550000.0,4.0,6.0,8.0,0.0,10.0,10.0,0.0,16 a 30 años,55000.0,1.3333333333333333,False,False,False,False,0,Premium Spacious Properties
Apartamento,750000.0,4.0,1.0,1.0,0.0,127.0,26.0,1.0,9 a 15 años,5905.511811023622,1.0,False,False,True,False,1,Budget Compact Properties
Apartamento,7000000.0,6.0,1.0,1.0,2.0,80.0,80.0,0.0,más de 30 años,87500.0,1.0,False,True,False,False,1,Budget Compact Properties
Apartamento,1500000.0,4.0,1.0,1.0,1.0,35.0,35.0,0.0,16 a 30 años,42857.142857142855,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,1350000.0,3.0,1.0,1.0,0.0,35.0,35.0,0.0,menor a 1 año,38571.42857142857,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,2100000.0,4.0,1.0,1.0,1.0,55.0,55.0,4.0,9 a 15 años,38181.818181818184,1.0,True,False,False,False,1,Budget Compact Properties
Casa,8500000.0,4.0,10.0,8.0,3.0,450.0,450.0,2.0,16 a 30 años,18888.88888888889,0.8,False,False,True,False,0,Premium Spacious Properties
Casa,6500000.0,4.0,4.0,5.0,2.0,280.0,280.0,0.0,más de 30 años,23214.285714285714,1.25,False,False,True,False,0,Premium Spacious Properties
Apartamento,780000.0,3.0,2.0,2.0,0.0,30.0,30.0,1.0,16 a 30 años,26000.0,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,870000.0,5.0,1.0,1.0,0.0,6.0,6.0,0.0,más de 30 años,145000.0,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,600000.0,4.0,3.0,2.0,0.0,200.0,20.0,2.0,1 a 8 años,3000.0,0.6666666666666666,False,False,True,False,1,Budget Compact Properties
Apartamento,3200000.0,4.0,2.0,2.0,0.0,64.0,64.0,4.0,1 a 8 años,50000.0,1.0,False,True,False,False,1,Budget Compact Properties
Apartamento,800000.0,4.0,1.0,1.0,0.0,9.0,22.0,0.0,9 a 15 años,88888.88888888889,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,500000.0,4.0,1.0,1.0,0.0,14.0,22.0,2.0,más de 30 años,35714.28571428572,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,2100000.0,3.0,1.0,1.0,0.0,37.0,37.0,5.0,1 a 8 años,56756.75675675676,1.0,True,False,False,False,1,Budget Compact Properties
