location,price,habs,baños,area,tipo_inmueble,link
"Quinta paredes, Bogotá","3,200,000",2.0,2.0,62.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina3/</apartamento-en-arriendo/191839558>"
"Quinta paredes, Bogotá","1,100,000",1.0,1.0,25.0,Apartaestudio en arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina3/</apartaestudio-en-arriendo/7821430>"
"Quinta paredes, Bogotá","2,200,000",2.0,2.0,94.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina3/</apartamento-en-arriendo/191749050>"
"Quinta paredes, Bogotá","750,000",1.0,1.0,127.0,Habitación en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina3/</habitacion-en-arriendo/191235439>"
"Quinta paredes, Bogotá","750,000",1.0,1.0,127.0,Habitación en arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina3/</habitacion-en-arriendo/10204654>"
"Quinta Paredes, Bogotá","$ 5,800,000",5.0,5.0,244.0,Casa en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina4/</casa-en-arriendo/191846957>"
"Quinta Paredes, Bogotá","$ 2,500,000",3.0,2.0,81.5,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina4/</apartamento-en-arriendo/191572741>"
"Quinta Paredes, Bogotá","$ 2,000,000",2.0,2.0,75.0,Apartamento en arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina4/</apartamento-en-arriendo-bogota-quinta-paredes/7800832>"
"Quinta Paredes, Bogotá","$ 4,200,000",4.0,4.0,165.0,Apartamento en arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina4/</apartamento-en-arriendo/10878257>"
"Nicolas de federman, Bogotá","$ 3,700,000",3.0,2.0,110.0,Apartamento,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartamento-en-arriendo/191942173"
"Nicolas de federman, Bogotá","$ 1,970,000",2.0,2.0,69.0,Apartamento,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartamento-en-arriendo/10219494"
"Nicolas de federman, Bogotá","$ 2,330,000",1.0,2.0,47.0,Apartamento,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartamento-en-arriendo/191913759"
"Nicolas de federman, Bogotá","$ 2,450,000",1.0,1.0,36.0,Apartaestudio,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartaestudio-en-arriendo/191933284"
"Nicolas de federman, Bogotá","$ 1,900,000",,,34.0,Apartamento,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartamento-en-arriendo/191907072"
"Nicolas de federman, Bogotá","$ 5,100,000",6.0,5.0,280.0,Casa,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/casa-en-arriendo/191995199"
"Nicolas de federman, Bogotá","$ 2,248,797",1.0,2.0,45.0,Apartamento,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartamento-en-arriendo/192034292"
